15:12:55,10 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

15:12:55,910 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583987700.0), '181.81', '182.18', '181.43', '181.71', '6138.98834');

15:12:55,961 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583988000.0), '181.78', '181.79', '181.05', '181.12', '3822.75579');

15:12:56,11 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583988300.0), '181.11', '182.29', '181.04', '181.96', '4641.63835');

15:12:56,62 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583988600.0), '181.96', '182.47', '181.29', '182.09', '6829.65417');

15:12:56,114 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583988900.0), '182.08', '182.16', '181.49', '181.71', '3846.89959');

15:12:56,166 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583989200.0), '181.71', '181.8', '181.04', '181.26', '3001.7949');

15:12:56,219 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583989500.0), '181.26', '182.23', '180.85', '182.15', '2715.11687');

15:12:56,269 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583989800.0), '182.14', '182.14', '181.33', '181.81', '1197.25649');

15:12:56,328 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583990100.0), '181.81', '182.05', '181.65', '181.83', '1724.76074');

15:12:56,380 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583990400.0), '181.8', '181.82', '180.7', '181.02', '4351.08378');

15:12:56,430 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583990700.0), '181.12', '181.17', '180.16', '180.8', '3029.22968');

15:12:56,485 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583991000.0), '180.81', '181.81', '180.75', '181.74', '2173.26755');

15:12:56,537 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583991300.0), '181.74', '182.0', '181.12', '181.48', '1913.15284');

15:12:56,589 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583991600.0), '181.48', '181.7', '181.24', '181.41', '2200.12818');

15:12:56,654 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583991900.0), '181.48', '181.98', '181.39', '181.6', '3017.24478');

15:12:56,706 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583992200.0), '181.6', '181.64', '181.06', '181.52', '2400.94875');

15:12:56,761 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583992500.0), '181.51', '181.98', '181.02', '181.75', '2578.38597');

15:12:56,815 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583992800.0), '181.79', '181.82', '181.12', '181.19', '1981.34312');

15:12:56,867 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583993100.0), '181.19', '181.56', '180.71', '180.77', '1874.55516');

15:12:56,921 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583993400.0), '180.75', '181.11', '180.54', '180.65', '2525.55808');

15:12:56,974 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583993700.0), '180.65', '180.65', '176.68', '177.48', '21520.7341');

15:12:57,25 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583994000.0), '177.48', '178.0', '177.11', '177.59', '9369.81758');

15:12:57,80 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583994300.0), '177.65', '177.71', '175.1', '175.42', '19807.20003');

15:12:57,132 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583994600.0), '175.46', '175.52', '174.01', '174.09', '23455.51782');

15:12:57,182 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583994900.0), '174.02', '175.0', '172.0', '173.82', '33297.13959');

15:12:57,237 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583995200.0), '173.63', '174.31', '173.4', '174.12', '10616.40953');

15:12:57,288 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583995500.0), '174.04', '174.23', '173.27', '173.5', '5698.10387');

15:12:57,338 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583995800.0), '173.5', '173.68', '172.59', '172.97', '7526.59708');

15:12:57,390 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583996100.0), '172.97', '173.93', '172.72', '173.8', '5624.42681');

15:12:57,440 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583996400.0), '173.78', '173.97', '172.39', '172.82', '5895.67813');

15:12:57,488 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583996700.0), '172.61', '172.86', '170.3', '171.87', '13058.50677');
