02:36:34,962 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

02:36:35,646 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583856000.0), '196.72', '198.42', '195.54', '198.03', '14967.11897');

02:36:35,765 [DATABASE_LOGGER] DEBUG 89 [DEBUG] TABLE NOT FOUND, CREATING NEW ONE

02:36:35,882 [DATABASE_LOGGER] DEBUG 89 [DEBUG] CREATE TABLE ETHUSDT_OHLCV_5m(timestamp TIMESTAMP PRIMARY KEY NOT NULL, open DECIMAL(5, 2), high  DECIMAL(5, 2), low DECIMAL(5, 2), close DECIMAL(5, 2), volume numeric(10));

02:36:35,925 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

02:36:36,717 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583856000.0), '196.72', '198.42', '195.54', '198.03', '14967.11897');

02:36:36,840 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583856300.0), '198.06', '198.95', '197.85', '198.48', '7011.10312');

02:36:37,0 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583856600.0), '198.47', '198.91', '197.73', '198.41', '3610.94084');

02:36:37,160 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583856900.0), '198.39', '199.74', '198.32', '199.44', '4818.99175');

02:36:37,320 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583857200.0), '199.47', '199.98', '199.13', '199.95', '3268.47551');

02:36:37,480 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583857500.0), '199.96', '199.96', '199.17', '199.27', '3704.84708');

02:36:37,640 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583857800.0), '199.23', '199.23', '198.19', '198.67', '3279.37673');

02:36:37,800 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583858100.0), '198.65', '199.65', '198.19', '199.58', '6118.0352');

02:36:37,960 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583858400.0), '199.58', '199.6', '198.79', '199.45', '1421.79726');

02:36:38,120 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583858700.0), '199.42', '199.45', '197.98', '198.5', '4901.29222');

02:36:38,281 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583859000.0), '198.51', '198.82', '198.21', '198.81', '2484.46946');

02:36:38,415 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583859300.0), '198.81', '199.4', '198.37', '199.26', '2600.23618');

