15:09:43,191 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:11:54,844 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:12:45,874 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:12:59,263 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:13:21,555 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:13:30,668 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:14:22,843 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:17:39,749 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:18:28,358 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:23:40,299 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:31:51,569 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:32:10,317 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

15:32:39,147 [DATABASE_LOGGER] DEBUG 94 [DEBUG] SELECT timestamp, open, high, low, close, volume FROM ETHUSDT_OHLCV_5m ORDER BY timestamp DESC LIMIT 300;

